id,permission_id,view_menu_id
1,1,5
2,2,5
3,1,6
4,2,6
5,1,7
6,2,7
7,3,9
8,4,9
9,5,9
10,6,9
11,7,9
12,8,9
13,9,9
14,10,9
15,11,9
16,12,9
17,13,10
18,13,11
19,3,12
20,4,12
21,5,12
22,6,12
23,7,12
24,9,12
25,14,12
26,13,13
27,15,14
28,13,15
29,5,16
30,13,17
31,5,18
32,13,19
33,5,20
34,13,21
35,16,22
36,5,24
37,9,24
38,3,24
39,17,25
40,18,25
41,13,26
42,13,27
43,13,28
44,13,29
45,13,30
46,19,25
47,1,31
48,2,31
49,13,32
50,13,33
51,7,34
52,9,34
53,3,34
54,6,34
55,4,34
56,5,34
57,13,35
58,13,36
59,7,37
60,9,37
61,3,37
62,6,37
63,4,37
64,5,37
65,13,38
66,5,39
67,13,39
68,13,40
69,5,41
70,13,42
71,9,45
72,20,43
73,21,43
74,22,47
75,16,47
76,3,47
77,23,47
78,24,47
79,9,48
80,4,48
81,6,48
82,7,48
83,3,48
84,5,48
85,13,49
86,13,50
87,13,51
88,6,52
89,3,52
90,5,52
91,9,52
92,7,52
93,4,52
94,13,53
95,13,54
96,6,55
97,3,55
98,5,55
99,9,55
100,7,55
101,4,55
102,13,56
103,6,57
104,3,57
105,5,57
106,9,57
107,7,57
108,4,57
109,13,58
110,5,59
111,6,59
112,9,59
113,3,59
114,4,59
115,7,59
116,13,60
117,5,61
118,6,61
119,9,61
120,3,61
121,4,61
122,7,61
123,3,62
124,5,62
125,6,62
126,8,62
127,7,62
128,9,62
129,4,62
130,25,62
131,10,62
132,11,62
133,12,62
134,26,34
135,27,34
136,25,34
137,4,63
138,6,63
139,5,63
140,9,63
141,7,63
142,3,63
143,13,63
144,7,64
145,5,64
146,9,64
147,6,64
148,3,64
149,4,64
150,13,65
